title,path,url,topics,excerpt,Created
Build a Crew to Tailor your Resume to Job Descriptions,Python/CrewAI,https://www.harshaash.com/Python/CrewAI,Generative AI|Agentic AI|Production Use Case,Orchestrate multiple AI agents using CrewAI to tailor resumes for job applications and prepare interview materials.,2026-01-25 13:08:33 +0530
Building Clinically Interpretable Models for Heart Disease Prediction,Python/Explainable models using Heart Failure,https://www.harshaash.com/Python/Explainable models using Heart Failure,Machine Learning|Explainable ML|Real World Data,Build an interpretable heart disease prediction model for rapid clinical screening.,2025-10-28 17:11:42 +0530
Analysing Indian Railway Delays with DBSCAN Clustering,Python/train_delays,https://www.harshaash.com/Python/train_delays,Clustering|Real World Data,Analyze Indian railway delays by scraping real-time data and applying DBSCAN clustering.,2025-12-21 14:44:38 +0530
Forecasting Air Quality with ARIMA: Hyderabad PM2.5 Analysis,Python/ARIMA Forecasting,https://www.harshaash.com/Python/ARIMA Forecasting,Time Series forecasting|Real World Data,Forecast PM2.5 air quality in Hyderabad by building a ARIMA model using real-world data.,2021-12-28 22:28:48 +0530
Human-in-the-Loop Blog Validation with LangGraph,Python/Blog validation,https://www.harshaash.com/Python/Blog validation,Generative AI|Agentic AI|Real World Data|Production Use Case,Create a human-in-the-loop blog editing pipeline using LangGraph to automate text and code validation.,2026-01-03 11:20:53 +0530
Visualising Airbnb Data: London Market Analysis,Python/Vizualisation using python Part 1,https://www.harshaash.com/Python/Vizualisation using python Part 1,Visualization|Real World Data,"Analyze London's Airbnb market by visualizing trends in listing popularity, seasonality, and review activity.",2021-10-03 23:07:31 +0530
Comparing Multiple ML Models with Scikit-Learn,Python/ML using scikit-learn,https://www.harshaash.com/Python/ML using scikit-learn,Machine Learning|Real World Data,Predict employee absenteeism by building and comparing multiple machine learning models using Scikit-learn.,2021-12-31 23:14:25 +0530
What I learnt from failures as a Data Science Consultant,Others/learnings,https://www.harshaash.com/Others/learnings,Career Lessons,Reflections and lessons learned from failures and challenges faced as a data science consultant.,2026-01-08 17:47:47 +0530
Podcast on making data science outputs consumable,Others/podcast,https://www.harshaash.com/Others/podcast,Career Lessons,Podcast on how to bridge the gap between complex data science work and practical & understandable outputs for business stakeholders.,2026-01-08 23:03:03 +0530
Solving Inventory Problems with OR-Tools and EOQ,Python/inventory_optimization_eoq_ortools,https://www.harshaash.com/Python/inventory_optimization_eoq_ortools,Prescriptive Analytics|Synthetic Data,Solve retail inventory problems by building a Mixed Integer Programming model with Google OR-Tools.,2025-11-10 20:03:46 +0530
Retrieval Augmented Generation (RAG) Explained,Python/RAG,https://www.harshaash.com/Python/RAG,Generative AI,Build a chatbot that answers questions from a PDF document using Retrieval-Augmented Generation (RAG).,2025-01-22 21:45:00 +0530
Comparing Tokenizers Across Popular LLMs: From GPT to Llama,Python/LLM Tokenizers,https://www.harshaash.com/Python/LLM Tokenizers,Generative AI,"Compare how different LLMs like BERT, GPT-2, and Flan-T5 tokenize text, code, and names.",2025-01-15 15:10:52 +0530
Neural Collaborative Filtering in Python,Python/Neural_collaborative_filtering,https://www.harshaash.com/Python/Neural_collaborative_filtering,Reinforcement Learning|Real world Data,Build a music recommendation system using Neural Collaborative Filtering on the NetEase dataset.,2022-10-02 19:07:11 +0530
Probability Distributions for Call Centre Analytics,Python/Call center distributions,https://www.harshaash.com/Python/Call center distributions,Statistics basics|Real World Data,"Model call center operations by applying Poisson, Exponential, and Geometric distributions.",2025-10-28 17:11:42 +0530
Comprehensive Hypothesis Testing in Python,Python/Hypothesis_Testing_Python,https://www.harshaash.com/Python/Hypothesis_Testing_Python,Hypothesis Testing|Real World Data,Build a complete hypothesis testing toolkit in Python using four real-world examples.,2025-10-28 17:11:42 +0530
Demand Forecasting for Walmart using Vector Autoregression (VAR) Models,R/VAR-models,https://www.harshaash.com/R/VAR-models,Time Series forecasting|Real World Data,Learn how to model multiple interdependent time series simultaneously using Vector Autoregression (VAR).,2022-05-21 23:47:59 +0530
Building Agentic AI Systems with LangChain,Python/Agentic AI,https://www.harshaash.com/Python/Agentic AI,Generative AI|Agentic AI|Real World Data|Production Use Case,"Build agentic systems with tool use, memory, and decision-making capabilities using LangChain.",2025-01-17 11:30:36 +0530
Predicting Vehicle Fuel Efficiency: Complete Linear Regression Analysis,Python/Linear regression usecase mpg prediction,https://www.harshaash.com/Python/Linear regression usecase mpg prediction,Prediction algorithms|Regression Algorithms|Real World Data,Master linear regression using the classic Auto MPG data to predict city-cycle fuel consumption.,2025-10-28 17:11:42 +0530
Mastering Prompt Engineering Techniques,Python/prompt_engineering_techniques,https://www.harshaash.com/Python/prompt_engineering_techniques,Generative AI,Learn advanced prompt engineering strategies to get better results from large language models.,2025-11-15 19:29:52 +0530
Building Recommendation Systems using Associate Mining,R/recommendation-systems,https://www.harshaash.com/R/recommendation-systems,Reinforcement Learning|Real world Data,Create personalised recommendation engines using association mining.,2022-01-02 20:56:45 +0530
Presentation on AI in Healthcare,Others/yashoda_presentation,https://www.harshaash.com/Others/yashoda_presentation,Generative AI,Some examples of using Gen AI in the healthcare and pharma sectors.,2026-01-08 23:03:03 +0530
Forecasting Time Series with Deep Neural Networks,Python/Time series deep learning,https://www.harshaash.com/Python/Time series deep learning,Deep learning|Time Series forecasting|Real World Data,Discover how recurrent neural networks (RNNs) and LSTM networks revolutionise time series forecasting.,2021-12-28 22:28:48 +0530
Feature Engineering Fundamentals in Python,Python/Machine Learning Part 1,https://www.harshaash.com/Python/Machine Learning Part 1,Preprocessing data|Machine Learning|Real World Data,Master the art of creating predictive features from raw data through comprehensive feature engineering techniques.,2021-12-22 11:56:55 +0530
Integer Programming: Advanced Modelling Tricks,Others/integer_programming_blog,https://www.harshaash.com/Others/integer_programming_blog,Prescriptive Analytics,Master advanced integer programming techniques for solving complex discrete optimisation problems.,2025-11-09 09:08:26 +0530
Finding Hidden Groups in Graphs Using NetworkX,Python/Community detection,https://www.harshaash.com/Python/Community detection,Networks,Community detection in complex networks using Girwan Newman and other algorithms.,2021-09-05 21:11:27 +0530
Bipartite Matching and Assignment Problems,Python/Bipartite matching,https://www.harshaash.com/Python/Bipartite matching,Networks,Solve assignment problems on bipartite graphs using Hall's theorem and augmenting paths in NetworkX.,2021-09-13 21:28:19 +0530
Getting Started with NetworkX in Python,Python/Introduction to Networkx,https://www.harshaash.com/Python/Introduction to Networkx,Networks,Learn network analysis fundamentals using Python's NetworkX library.,2021-08-22 21:50:36 +0530
Statistical Foundations for Data Science in Python,Python/Statistics basics,https://www.harshaash.com/Python/Statistics basics,Statistics basics,Build a solid foundation in descriptive and inferential statistics for real-world analytics.,2025-10-28 17:11:42 +0530
Z-test vs t-test in R: A Practical Walkthrough,R/attendance_t_test,https://www.harshaash.com/R/attendance_t_test,Hypothesis Testing|Real World Data,Demonstrate z-tests and t-tests on real-world attendance data with clear hypotheses and code.,2022-01-02 20:56:45 +0530
Build and Validate ARIMA Models in R,R/ARIMA,https://www.harshaash.com/R/ARIMA,Time Series forecasting|Real World Data,Build powerful forecasting models using Auto-Regressive Integrated Moving Average (ARIMA) methodology in R.,2021-12-28 14:05:55 +0530
K-Means Clustering for Credit Card Segmentation,R/kMeansClustering,https://www.harshaash.com/R/kMeansClustering,Clustering|Real World Data,Master the K-Means algorithm for partitioning data into distinct clusters.,2022-01-01 18:52:34 +0530
Logistic Regression for Binary Classification in R,R/logistic-regression,https://www.harshaash.com/R/logistic-regression,Prediction algorithms|Classification Algorithms,Master logistic regression for predicting binary outcomes using R.,2022-01-02 20:56:45 +0530
Deploying Machine Learning Models with Flask,Python/Machine learning as HTTP Request,https://www.harshaash.com/Python/Machine learning as HTTP Request,Deployment|Production Use Case,Transform your machine learning models into production-ready HTTP APIs using Flask.,2021-10-17 14:09:51 +0530
CHAID Decision Trees for Categorical Analysis,R/CHAID,https://www.harshaash.com/R/CHAID,Prediction algorithms|Classification Algorithms,Explore Chi-square Automatic Interaction Detection (CHAID) for building interpretable decision trees.,2022-01-02 20:56:45 +0530
CART Classification Trees in R,R/CART-Classification,https://www.harshaash.com/R/CART-Classification,Prediction algorithms|Classification Algorithms,Learn Classification and Regression Trees (CART) methodology for building robust decision trees.,2022-01-02 20:56:45 +0530
Predicting House Prices using Linear Regression,R/Linear-regression,https://www.harshaash.com/R/Linear-regression,Prediction algorithms|Regression Algorithms|Real World Data,Master the foundational technique of linear regression using R's comprehensive statistical toolkit.,2022-01-02 20:56:45 +0530
Backpropagation: The Heart of Neural Network Training,Python/Backpropagation,https://www.harshaash.com/Python/Backpropagation,Deep learning,Master the backpropagation algorithm that powers neural network learning.,2024-05-02 17:09:40 +0530
Deep Learning with TensorFlow and Keras,Python/DNN,https://www.harshaash.com/Python/DNN,Deep learning,Build production-ready deep neural networks using TensorFlow and Keras.,2024-05-16 18:48:43 +0530
Building Neural Networks from Scratch: The Perceptron,Python/ANN-1,https://www.harshaash.com/Python/ANN-1,Deep learning,Understand the fundamental building block of neural networks by implementing a perceptron from scratch.,2024-04-30 16:35:15 +0530
Object-Relational Mapping (ORM) in Python,Python/ORM,https://www.harshaash.com/Python/ORM,Deployment,"Master database interactions using SQLAlchemy ORM for clean, Pythonic data access.",2021-10-17 14:09:51 +0530
Persisting ML Predictions in Databases with Python,Python/Saving predictions in database,https://www.harshaash.com/Python/Saving predictions in database,Deployment,Learn how to store and retrieve machine learning predictions using databases.,2021-10-17 14:09:51 +0530
Online Learning and Streaming Data in Python,Python/Demonstrating online learning,https://www.harshaash.com/Python/Demonstrating online learning,Machine Learning,Discover how to build machine learning models that learn incrementally from streaming data.,2021-08-22 21:50:36 +0530
Visualisation Strategies for Predictive Models EDA,Python/Visualization for predictive analytics,https://www.harshaash.com/Python/Visualization for predictive analytics,Visualization|Real World Data|Prediction algorithms,Discover how to create effective visualisations for Exploratory Data Analysis.,2021-10-06 16:34:26 +0530
Exploring Data Patterns with Univariate Analysis,R/Univariate-analysis,https://www.harshaash.com/R/Univariate-analysis,Visualization,"Master the art of single-variable analysis in R by learning how to create histograms, box plots, and density curves.",2021-08-22 19:03:02 +0530
Understanding Relationships Through Multivariate Analysis,R/multivariateAnalysis,https://www.harshaash.com/R/multivariateAnalysis,Visualization,Explore the power of multivariate exploratory techniques in R for uncovering relationships between multiple variables.,2021-08-22 19:03:02 +0530
Optimisation with Linear Programming in R,R/Linear-programming,https://www.harshaash.com/R/Linear-programming,Prescriptive Analytics|Synthetic Data,Learn how to formulate and solve resource allocation problems using linear programming.,2022-01-02 20:56:45 +0530
Detecting and Addressing Multicollinearity Issues,R/multicollinearity,https://www.harshaash.com/R/multicollinearity,Visualization,Learn how to identify and handle multicollinearity in regression models using variance inflation factors (VIF).,
Mastering Probability Concepts in R,R/Probability,https://www.harshaash.com/R/Probability,Statistics basics,Understand probability theory through hands-on R examples covering discrete and continuous distributions.,2022-01-16 16:42:42 +0530
Vector Operations and Data Manipulation in R,R/vectors,https://www.harshaash.com/R/vectors,Statistics basics,Explore the fundamental building blocks of R programming through comprehensive vector operations.,2022-01-16 16:42:42 +0530
